mos_tot_num_mosquitos,predicted_tot_num_mosquitos
1,7.4753857
2,6.9041166
1,4.4516015
5,7.605549
1,6.3203363
2,3.5085623
7,4.2903886
1,6.3309493
2,3.7965288
3,6.218867
1,3.7190406
1,6.796297
2,7.4340286
1,6.753861
3,7.439725
11,7.9541836
1,5.258515
5,7.0176783
6,7.161627
12,6.13899
11,7.388295
2,6.032355
44,12.069836
3,9.273413
2,7.235011
12,6.6208243
12,1.8087564
5,7.7825894
1,6.2156925
11,5.6698937
7,8.084976
2,7.229737
3,7.548493
5,4.471853
4,6.204926
1,5.776761
4,7.455801
5,7.0514894
2,6.5429206
246,191.19403
1,7.16838
3,5.738399
2,5.656968
2,5.656968
6,5.990125
1,5.572322
18,6.989597
9,6.221259
2,5.6795244
10,5.4289956
1,5.0471597
4,5.1708207
1,5.3973355
10,5.964674
1,4.955833
16,6.2098713
2,5.9834113
1,5.5430336
1,5.52881
2,4.7994013
3,4.714922
2,2.054874
3,3.3483567
2,3.3137872
5,4.464877
2,3.21853
5,4.492465
2,4.94896
3,5.0913906
2,5.0755777
1,2.9629092
4,3.5587115
2,4.656896
1,3.115193
5,4.710594
3,4.1523876
61,16.902378
4,7.6826143
1,4.0205564
7,4.40807
17,7.2835484
1,5.371553
1,4.847106
3,5.5712867
5,3.5229063
5,4.1666574
3,5.0087314
3,5.7911468
4,3.589373
1,5.4033403
4,5.5887046
116,61.896866
1,4.7873487
24,6.149679
6,4.729217
2,0.004309416
14,5.3258367
1,7.298588
13,6.5821614
5,7.646658
2,7.002858
25,9.65794
17,6.7200937
7,8.220437
7,8.387155
2,6.712999
11,8.739668
6,6.7404633
46,17.490656
22,11.440331
5,7.939378
3,5.5672903
1,6.0599604
6,6.7830067
12,4.7167144
4,5.882998
1,4.5229516
2,5.7621326
8,5.273333
3,6.422918
4,4.836799
1,6.1570797
13,8.15555
1,7.5032935
10,7.6640286
30,9.71246
7,5.117738
7,6.1422834
10,7.3039117
19,6.889855
43,13.388542
5,4.868923
70,26.52709
15,8.200446
6,9.846981
1,6.576162
2,6.3205805
7,6.400675
50,20.860378
1,6.6698565
3,5.3074584
2,6.8694377
23,6.987961
27,9.030491
35,7.8509536
3,8.039954
12,7.5852323
5,3.90814
4,6.1994624
29,6.8617234
9,6.2267375
103,52.050507
3,7.5392876
2,0.08779305
35,6.401849
33,12.468645
8,23.973372
1,23.806458
13,24.696632
11,25.092583
2,23.560165
1,22.868551
6,24.96896
1,23.462828
2,23.68028
11,26.697088
5,25.249651
2,26.48861
6,25.24584
2,25.756966
7,25.708015
2,26.42495
1,21.153738
2,21.534414
3,23.459177
6,27.068398
15,27.893253
5,23.148825
2,19.32959
4,26.141132
3,26.30929
4,24.298119
3,27.4922
11,26.535505
20,24.157131
3,25.43838
3,25.64539
8,26.471407
11,27.67771
5,26.917076
16,28.831156
104,61.988045
188,136.36545
1,24.87444
65,34.580837
24,26.80982
13,26.512224
39,31.322609
1,26.620857
6,24.94158
30,27.128414
23,29.104979
43,30.824549
3,23.007332
5,23.832912
4,24.434385
2,24.700483
11,20.84899
1,25.353626
17,25.748625
5,24.855822
3,24.443804
5,23.321304
36,25.263481
60,35.61096
2,24.084045
55,27.971037
6,18.326262
19,19.357302
89,46.03675
23,19.872034
24,15.769792
15,19.014017
20,24.583872
3,22.533875
1,22.06925
3,21.537832
6,22.336098
8,23.751904
1,20.638065
5,21.734552
1,22.582731
10,24.656338
3,24.07174
1,25.003948
4,23.49423
2,23.341507
3,24.765371
1,19.90943
1,19.912218
6,25.302458
5,21.158663
3,24.728085
1,24.069609
14,24.221598
2,25.966507
23,26.489513
13,21.555906
3,23.519444
8,24.876905
35,29.576118
8,25.588781
10,26.375513
3,26.92382
1,23.111864
39,30.233585
12,25.260864
2,23.855808
7,24.447563
113,66.341965
7,24.553968
45,31.231375
1,24.952917
5,22.600172
11,25.258375
9,26.610788
115,71.00733
2,23.700106
2,22.319199
5,23.259586
5,26.156952
3,19.00094
32,27.951149
7,22.025059
1,22.437517
5,21.39721
20,20.39406
16,24.665884
215,160.52576
101,53.962997
33,20.50568
62,30.924253
73,37.417885
186,131.53827
8,17.035307
18,28.707403
2,26.221592
2,25.260862
18,28.05796
1,26.428337
9,27.758677
9,26.375298
1,24.57251
14,28.755754
23,28.554092
14,29.186472
2,29.491161
2,27.278913
11,28.770319
4,24.402832
2,24.338383
4,25.281393
5,28.96828
11,29.553473
4,24.994995
39,28.803658
9,27.547758
3,28.198868
4,27.309881
1,28.7308
4,30.576284
10,27.656084
21,26.80796
1,28.922476
1,27.968082
10,28.720598
6,29.23478
15,30.875406
2,32.573223
48,36.317924
21,32.465347
3,30.319073
4,28.528543
162,116.64155
14,29.867588
54,35.661198
1,28.414137
1,27.26382
8,27.008238
9,28.593294
2,30.46988
2,26.468828
10,28.215786
12,31.45318
3,22.526104
24,29.343138
4,25.551794
1,26.579166
6,25.544195
62,37.65876
12,28.190435
2,28.966284
94,53.91133
45,28.764677
62,36.733242
122,76.628
190,139.86351
75,49.125874
27,24.214088
22,21.160732
3,17.865381
2,17.411917
5,17.208076
20,20.29472
11,19.638254
1,16.670956
1,16.187868
2,17.889158
4,17.102648
1,18.682222
4,19.104826
4,20.897943
5,18.62548
10,19.976135
2,20.163486
1,16.123259
1,16.131754
2,16.026728
2,20.159931
6,20.781384
1,16.994581
23,16.409626
2,18.452686
8,19.417168
1,19.446665
10,19.808027
9,16.874449
1,20.169628
6,20.513182
10,22.029179
7,21.328745
22,25.886295
64,35.129375
4,20.80489
5,19.634712
32,23.954744
2,20.259514
3,19.270956
12,19.670004
9,20.598314
3,17.687382
2,17.724596
4,18.732859
3,21.966745
11,14.796281
9,19.899092
9,18.001053
3,18.231705
19,18.460543
6,18.398241
10,15.250237
470,405.96768
290,231.97859
227,172.41164
308,250.64586
32,18.979147
117,72.93169
1,18.264185
59,28.691198
1,17.64553
115,69.276825
10,17.067245
7,20.42236
71,35.62931
11,7.7768993
1,9.780365
1,9.897802
5,9.83038
1,9.731212
2,9.73414
1,8.255042
5,8.947123
1,10.502312
11,10.795802
1,11.699808
4,11.223696
2,8.114021
4,9.917628
1,8.9686575
5,11.46443
1,9.207014
1,10.232184
1,10.469692
2,13.312679
2,9.273451
1,7.7391105
1,11.411104
3,10.45335
1,10.73409
2,13.745213
20,12.160732
16,16.838497
2,10.985451
10,11.008111
6,9.229854
4,10.955987
9,10.558436
1,8.697601
7,11.372618
1,13.783642
3,1.4996331
11,14.290222
2,10.610124
2,10.073332
1,9.921591
3,1.0781612
4,10.821332
1,9.34809
7,9.266953
3,9.678985
7,9.985305
26,9.945227
2,10.150572
1,11.304907
7,8.907084
2,7.9649744
10,9.193295
69,25.928751
179,119.494446
109,51.772102
105,51.86258
62,19.147099
8,8.691981
7,8.717119
13,9.657601
34,9.680217
17,9.655953
3,8.45053
4,0.4053801
4,8.041008
2,8.403895
3,8.072829
4,8.952408
2,6.802219
24,7.0402937
1,8.792936
9,9.780349
6,7.4266295
1,10.166305
9,8.696236
2,6.7937784
1,6.7249513
4,8.143821
1,8.638359
11,9.2777195
14,8.429753
295,241.13774
4,9.331539
4,8.144719
4,8.385719
11,8.918301
12,11.197711
4,7.727794
8,0.45277527
3,8.397574
3,9.038694
23,10.525757
1,9.181143
9,9.493414
3,11.91863
